s.no.,feedstock,activation,material_type,heat_treatment (celsius),SA (m2/g),TPV (cm3/g),MPV(cm3/g),C%,H%,N%,O%,T (celsius),P (bar),CO2_uptake (mmol/g)
,Biomass tar,Cao/KOH,Hierarchical,,1790,1.21,0.48,93.76,0,0,6.24,0,1,4.4
,Biomass tar,Cao/KOH,Hierarchical,,2424,1.38,0.51,95.01,0,0,4.99,0,1,4.1
,Biomass tar,Cao/KOH,Hierarchical,,2358,1.85,0.49,95.14,0,0,4.86,0,1,4.77
,Biomass tar,Cao/KOH,Hierarchical,,1829,1.25,0.49,96.75,0,0,3.25,0,1,5.03
,Biomass tar,Cao/KOH,Hierarchical,,1684,1.43,0.48,95.25,0,0,4.75,0,1,4.62
8,Flesh by sunflower receptacle and sunflower stalk,KOH,Hierarchical,500,3072,1.77,0.78,91.02,2.71,0.4,5.87,25,1,2.78
,Flesh by sunflower receptacle and sunflower stalk,KOH,Hierarchical,500,2730,1.84,1.12,94.5,0.95,0.8,3.75,25,1,2.34
,Flesh by sunflower receptacle and sunflower stalk,KOH,Hierarchical,1000,654,0.46,0.36,77.12,1.08,0.75,21.05,25,1,3.08
,Flesh by sunflower receptacle and sunflower stalk,KOH,Hierarchical,500,3072,1.77,0.78,91.02,2.71,0.4,5.87,0,1,4.09
,Flesh by sunflower receptacle and sunflower stalk,KOH,Hierarchical,500,2730,1.84,1.12,94.5,0.95,0.8,3.75,0,1,4.08
,Flesh by sunflower receptacle and sunflower stalk,KOH,Hierarchical,1000,654,0.46,0.36,77.12,1.08,0.75,21.05,0,1,4.52
9,Biomass tar,KOH,Microporous,,660,0.28,0.24,83.48,0.01,3.53,12.98,25,1,2.94
,Biomass tar,KOH,Microporous,,1076,0.44,0.38,84.57,2.94,3.03,9.46,25,1,4.11
,Biomass tar,KOH,Microporous,,1268,0.55,0.5,90.49,0,2.12,7.39,25,1,3.64
,Biomass tar,KOH,Microporous,,1480,0.71,0.48,89.42,1.46,2.08,7.04,25,1,3.31
,Biomass tar,KOH,Microporous,,1161,0.38,0.35,88.44,0.01,3.02,8.53,25,1,3.69
,Biomass tar,KOH,Microporous,,1804,0.85,0.66,89.93,0,2,8.07,25,1,3.16
,Biomass tar,KOH,Microporous,,1857,0.87,0.48,92.01,0,1.32,6.67,25,1,3.06
,Biomass tar,KOH,Microporous,,660,0.28,0.24,83.48,0.01,3.53,12.98,25,0.15,0.74
,Biomass tar,KOH,Microporous,,1076,0.44,0.38,84.57,2.94,3.03,9.46,25,0.15,1.64
,Biomass tar,KOH,Microporous,,1268,0.55,0.5,90.49,0,2.12,7.39,25,0.15,1.22
,Biomass tar,KOH,Microporous,,1480,0.71,0.48,89.42,1.46,2.08,7.04,25,0.15,1.52
,Biomass tar,KOH,Microporous,,1161,0.38,0.35,88.44,0.01,3.02,8.53,25,0.15,1.38
,Biomass tar,KOH,Microporous,,1804,0.85,0.66,89.93,0,2,8.07,25,0.15,0.96
,Biomass tar,KOH,Microporous,,1857,0.87,0.48,92.01,0,1.32,6.67,25,0.15,0.92
,Biomass tar,KOH,Microporous,,660,0.28,0.24,83.48,0.01,3.53,12.98,0,1,4.22
,Biomass tar,KOH,Microporous,,1076,0.44,0.38,84.57,2.94,3.03,9.46,0,1,6.02
,Biomass tar,KOH,Microporous,,1268,0.55,0.5,90.49,0,2.12,7.39,0,1,5.43
,Biomass tar,KOH,Microporous,,1480,0.71,0.48,89.42,1.46,2.08,7.04,0,1,5.41
,Biomass tar,KOH,Microporous,,1161,0.38,0.35,88.44,0.01,3.02,8.53,0,1,5.82
,Biomass tar,KOH,Microporous,,1804,0.85,0.66,89.93,0,2,8.07,0,1,5.2
,Biomass tar,KOH,Microporous,,1857,0.87,0.48,92.01,0,1.32,6.67,0,1,5.04
10,Banana stems and fiber,,Microporous,700,909,0.44,0.32,79.5,1.5,0,19,25,1,3.2
,Banana stems and fiber,,Microporous,700,1260,0.81,0.56,84,2,0,14,25,1,5
,Banana stems and fiber,,Microporous,700,909,0.44,0.32,79.5,1.5,0,19,0,1,5.3
,Banana stems and fiber,,Microporous,700,1260,0.81,0.56,84,2,0,14,0,1,7.1
11,Cellulose fiber and wood,Steam,Microporous,,473,0.2,0.17,88.4,2.2,0,9.4,25,1.01,1.72
,Cellulose fiber and wood,Steam,Microporous,,593,0.25,0.21,83.7,0.6,0,15.7,25,1.01,2.33
,Cellulose fiber and wood,Steam,Microporous,,217,0.12,0.13,89.6,2.6,1,6.8,25,1.01,1.12
,Cellulose fiber and wood,Steam,Microporous,,473,0.2,0.17,88.4,2.2,0,9.4,25,0.15,0.7
,Cellulose fiber and wood,Steam,Microporous,,593,0.25,0.21,83.7,0.6,0,15.7,25,0.15,0.9
,Cellulose fiber and wood,Steam,Microporous,,217,0.12,0.13,89.6,2.6,1,6.8,25,0.15,0.5
12,Corn stover,KOH,Microporous,250,955,0.43,0.31,57.46,3.37,0.66,38.51,0,1,4.93
,Corn stover,KOH,Microporous,250,1539,0.72,0.48,59.2,3.7,0.34,36.76,0,1,6.8
,Corn stover,KOH,Microporous,250,2442,1.56,0.86,60.41,3.91,0.24,35.44,0,1,7.14
,Corn stover,KOH,Microporous,250,2225,1.11,0.49,64.9,3.12,0.24,31.74,0,1,5.79
,Corn stover,KOH,Microporous,250,1543,0.71,0.61,66.56,2.99,0.86,29.59,0,1,5.06
,Corn stover,KOH,Microporous,250,2201,1.31,0.69,56.55,3.03,0.31,40.11,0,1,6.22
,Corn stover,KOH,Microporous,250,2170,1.27,0.66,54.94,2.19,0.32,42.55,0,1,4.86
,Corn stover,KOH,Microporous,250,1630,0.69,0.6,76.91,2.73,0.2,20.16,0,1,6.47
,Corn stover,KOH,Microporous,250,2132,1.13,0.7,59.22,3.88,0.23,36.67,0,1,6.85
,Corn stover,KOH,Microporous,250,1862,0.81,0.69,58.22,3.79,0.22,37.77,0,1,6.32
13,Lotus stem,KOH,Hierarchical,180,2091,0.87,0.65,90.49,0,0,9.51,25,1,3.85
,Lotus stem,KOH,Hierarchical,180,2893,1.59,0.7,88.8,0,0,11.2,25,1,2.84
,Lotus stem,KOH,Hierarchical,180,2091,0.87,0.65,90.49,0,0,9.51,0,1,6.17
,Lotus stem,KOH,Hierarchical,180,2893,1.59,0.7,88.8,0,0,11.2,0,1,4.61
14,Sawdust,KOH,Microporous,400,1511,0.65,0.54,78.2,1.9,0,19.9,25,1,4.3
,Sawdust,KOH,Microporous,400,1830,0.78,0.67,83.4,0.9,0,15.7,25,1,4.9
,Sawdust,KOH,Microporous,400,2163,0.93,0.74,88.1,0.4,0,11.5,25,1,4.7
,Sawdust,KOH,Microporous,400,2610,1.15,0.74,88.7,0.4,0,10.9,25,1,4
,Sawdust,KOH,Microporous,400,1511,0.65,0.54,78.2,1.9,0,19.9,25,0.15,1.2
,Sawdust,KOH,Microporous,400,1830,0.78,0.67,83.4,0.9,0,15.7,25,0.15,1.1
,Sawdust,KOH,Microporous,400,2163,0.93,0.74,88.1,0.4,0,11.5,25,0.15,1.1
,Sawdust,KOH,Microporous,400,2610,1.15,0.74,88.7,0.4,0,10.9,25,0.15,0.9
15,Vine shoot,CO2 and KOH,Microporous,600,2.48,,,47.1,5.29,0.66,46.39,0,1.01,2.18
,Vine shoot,CO2 and KOH,Microporous,600,46.3,,,47.1,5.29,0.66,46.39,0,1.01,2.21
,Vine shoot,CO2 and KOH,Microporous,600,374,0.19,0.11,47.1,5.29,0.66,46.39,0,1.01,3.45
,Vine shoot,CO2 and KOH,Microporous,600,538,0.24,0.18,47.1,5.29,0.66,46.39,0,1.01,3.19
,Vine shoot,CO2 and KOH,Microporous,600,1032,0.49,0.35,47.1,5.29,0.66,46.39,0,1.01,4.38
,Vine shoot,CO2 and KOH,Microporous,600,864,0.41,0.28,47.1,5.29,0.66,46.39,0,1.01,3.74
,Vine shoot,CO2 and KOH,Microporous,600,1439,0.67,0.49,47.1,5.29,0.66,46.39,0,1.01,6.08
,Vine shoot,CO2 and KOH,Microporous,600,704,0.29,0.24,47.1,5.29,0.66,46.39,0,1.01,4.16
,Vine shoot,CO2 and KOH,Microporous,600,1101,0.54,0.38,47.1,5.29,0.66,46.39,0,1.01,5.36
,Vine shoot,CO2 and KOH,Microporous,600,1305,0.53,0.45,47.1,5.29,0.66,46.39,0,1.01,6.04
,Vine shoot,CO2 and KOH,Microporous,600,1671,0.67,0.59,47.1,5.29,0.66,46.39,0,1.01,5.4
,Vine shoot,CO2 and KOH,Microporous,600,2.48,,,47.1,5.29,0.66,46.39,0,0.15,1.18
,Vine shoot,CO2 and KOH,Microporous,600,46.3,,,47.1,5.29,0.66,46.39,0,0.15,1.2
,Vine shoot,CO2 and KOH,Microporous,600,374,0.19,0.11,47.1,5.29,0.66,46.39,0,0.15,1.68
,Vine shoot,CO2 and KOH,Microporous,600,538,0.24,0.18,47.1,5.29,0.66,46.39,0,0.15,1.76
,Vine shoot,CO2 and KOH,Microporous,600,1032,0.49,0.35,47.1,5.29,0.66,46.39,0,0.15,1.92
,Vine shoot,CO2 and KOH,Microporous,600,864,0.41,0.28,47.1,5.29,0.66,46.39,0,0.15,1.78
,Vine shoot,CO2 and KOH,Microporous,600,1439,0.67,0.49,47.1,5.29,0.66,46.39,0,0.15,2.27
,Vine shoot,CO2 and KOH,Microporous,600,704,0.29,0.24,47.1,5.29,0.66,46.39,0,0.15,2.16
,Vine shoot,CO2 and KOH,Microporous,600,1101,0.54,0.38,47.1,5.29,0.66,46.39,0,0.15,2.42
,Vine shoot,CO2 and KOH,Microporous,600,1305,0.53,0.45,47.1,5.29,0.66,46.39,0,0.15,2.25
,Vine shoot,CO2 and KOH,Microporous,600,1671,0.67,0.59,47.1,5.29,0.66,46.39,0,0.15,2.25
16,Arundo donax stem,KOH,Microporous,,637,0.35,0.25,84.2,0,0.76,15.04,0,1,4
,Arundo donax stem,KOH,Microporous,,1122,0.59,0.5,84.7,0,0.87,14.43,0,1,6.3
,Arundo donax stem,KOH,Microporous,,849,0.5,0.31,54.9,0,0.53,44.57,0,1,3.7
17,Black locust,Steam and KOH,Hierarchical,650,1175,0.55,0.49,83.43,1.52,0,15.05,25,1,1.85
,Black locust,Steam and KOH,Hierarchical,650,2064,0.98,0.87,74.36,1.15,0,24.49,25,1,3.75
,Black locust,Steam and KOH,Hierarchical,650,1175,0.55,0.49,83.43,1.52,0,15.05,0,1,2.79
,Black locust,Steam and KOH,Hierarchical,650,2064,0.98,0.87,74.36,1.15,0,24.49,0,1,5.86
,Black locust,Steam and KOH,Hierarchical,650,1175,0.55,0.49,83.43,1.52,0,15.05,25,0.15,0.75
,Black locust,Steam and KOH,Hierarchical,650,2064,0.98,0.87,74.36,1.15,0,24.49,25,0.15,1.21
,Black locust,Steam and KOH,Hierarchical,650,1175,0.55,0.49,83.43,1.52,0,15.05,0,0.15,1.42
,Black locust,Steam and KOH,Hierarchical,650,2064,0.98,0.87,74.36,1.15,0,24.49,0,0.15,2.43
18,Empty fruit bunch,KOH,Microporous,250,1163,0.23,0.1,77.3,3.5,2,13.3,25,1.01,0.66
,Empty fruit bunch,KOH,Microporous,250,2239,0.88,0.19,83.5,2.6,2.7,11.3,25,1.01,0.85
,Empty fruit bunch,KOH,Microporous,250,1720,0.56,0.15,85.9,2.2,3.1,8.8,25,1.01,2.81
,Empty fruit bunch,KOH,Microporous,250,1322,0.78,0.23,80.9,2.9,2.4,13.3,25,1.01,3.4
,Empty fruit bunch,KOH,Microporous,250,2510,1.05,0.55,84.6,1.9,2.4,11.1,25,1.01,3.71
,Empty fruit bunch,KOH,Microporous,250,2100,0.78,0.29,87.8,1.7,3.5,7,25,1.01,2.18
19,Gelatin and starch,KOH,Hierarchical,450,1714,0.83,,75.9,2.17,0.65,12.76,25,1,3.28
,Gelatin and starch,KOH,Hierarchical,450,1636,0.51,,71.4,3.75,3,21.12,25,1,3.84
,Gelatin and starch,KOH,Hierarchical,450,1957,0.79,,71.2,1.97,1.97,19.57,25,1,3.45
,Gelatin and starch,KOH,Hierarchical,450,1294,0.63,,74.48,2.24,2.42,16.6,25,1,3.3
,Gelatin and starch,KOH,Hierarchical,450,714,0.4,,70.85,2.43,2.43,18.9,25,1,2.81
20,Rice husk,KOH,Microporous,520,774,0.41,0.3,74.2,2.2,0.75,22.85,25,1,3.53
,Rice husk,KOH,Microporous,520,1041,0.53,0.42,76.1,1.9,0.48,21.52,25,1,4.16
,Rice husk,KOH,Microporous,520,1199,0.6,0.48,72,1.5,0.36,26.14,25,1,3.87
,Rice husk,KOH,Microporous,520,2695,1.14,1.11,82.7,1.8,0.45,15.05,25,1,3.71
,Rice husk,KOH,Microporous,520,774,0.41,0.3,74.2,2.2,0.75,22.85,25,0.15,1.51
,Rice husk,KOH,Microporous,520,1041,0.53,0.42,76.1,1.9,0.48,21.52,25,0.15,1.55
,Rice husk,KOH,Microporous,520,1199,0.6,0.48,72,1.5,0.36,26.14,25,0.15,1.28
,Rice husk,KOH,Microporous,520,2695,1.14,1.11,82.7,1.8,0.45,15.05,25,0.15,0.92
,Rice husk,KOH,Microporous,520,774,0.41,0.3,74.2,2.2,0.75,22.85,25,0.1,1.24
,Rice husk,KOH,Microporous,520,1041,0.53,0.42,76.1,1.9,0.48,21.52,25,0.1,1.21
,Rice husk,KOH,Microporous,520,1199,0.6,0.48,72,1.5,0.36,26.14,25,0.1,1.01
,Rice husk,KOH,Microporous,520,2695,1.14,1.11,82.7,1.8,0.45,15.05,25,0.1,0.69
,Rice husk,KOH,Microporous,520,774,0.41,0.3,74.2,2.2,0.75,22.85,0,1,4.88
,Rice husk,KOH,Microporous,520,1041,0.53,0.42,76.1,1.9,0.48,21.52,0,1,5.63
,Rice husk,KOH,Microporous,520,1199,0.6,0.48,72,1.5,0.36,26.14,0,1,6.02
,Rice husk,KOH,Microporous,520,2695,1.14,1.11,82.7,1.8,0.45,15.05,0,1,6.24
21,Peanut shell,KOH,Hierarchical,550,1713,0.73,0.73,88,1.1,0.98,9.92,25,1,4.41
,Peanut shell,KOH,Hierarchical,550,1893,0.79,0.78,89.7,0.8,0.79,8.71,25,1,4.22
,Peanut shell,KOH,Hierarchical,550,1871,0.8,0.79,90.5,0.6,0.6,8.3,25,1,3.92
,Peanut shell,KOH,Hierarchical,550,1713,0.73,0.73,88,1.1,0.98,9.92,0,1,7.25
,Peanut shell,KOH,Hierarchical,550,1893,0.79,0.78,89.7,0.8,0.79,8.71,0,1,7.12
,Peanut shell,KOH,Hierarchical,550,1871,0.8,0.79,90.5,0.6,0.6,8.3,0,1,6.79
22,Pine nut shell,KOH,Microporous,500,1486,0.64,,66.2,2.6,0.1,22.6,25,1,5
23,Macadamia nut shell,CO2,Microporous,550,469,,,57.5,5.95,0.33,36.2,25,1.01,3.07
,Macadamia nut shell,CO2,Microporous,550,489,,,57.5,5.95,0.33,36.2,25,1.01,3.3
,Macadamia nut shell,CO2,Microporous,550,606,,,57.5,5.95,0.33,36.2,25,1.01,3.4
,Macadamia nut shell,CO2,Microporous,550,425,,,57.5,5.95,0.33,36.2,25,1.01,2.8
,Macadamia nut shell,CO2,Microporous,550,514,,,57.5,5.95,0.33,36.2,25,1.01,3.25
,Macadamia nut shell,CO2,Microporous,550,605,,,57.5,5.95,0.33,36.2,25,1.01,3.45
,Macadamia nut shell,CO2,Microporous,550,441,,,57.5,5.95,0.33,36.2,25,1.01,2.99
,Macadamia nut shell,CO2,Microporous,550,512,,,57.5,5.95,0.33,36.2,25,1.01,3.37
,Macadamia nut shell,CO2,Microporous,550,573,,,57.5,5.95,0.33,36.2,25,1.01,3.48
,Macadamia nut shell,CO2,Microporous,550,434,,,57.5,5.95,0.33,36.2,25,1.01,3.01
,Macadamia nut shell,CO2,Microporous,550,524,,,57.5,5.95,0.33,36.2,25,1.01,3.42
,Macadamia nut shell,CO2,Microporous,550,633,,,57.5,5.95,0.33,36.2,25,1.01,3.73
24,Agar,Zn(NO3)2,Hierarchical,500,671,0.43,,86.73,0,2.72,10.55,25,1,2.3
,Agar,Zn(NO3)2,Hierarchical,500,886,0.57,,87.7,0,2.28,10.02,25,1,2.6
,Agar,Zn(NO3)2,Hierarchical,500,1033,0.69,,87.71,0,2.58,9.71,25,1,2.4
,Agar,Zn(NO3)2,Hierarchical,500,858,0.57,,90.01,0,2.7,7.29,25,1,2.5
,Agar,Zn(NO3)2,Hierarchical,500,1142,0.85,,92.5,0,0.85,6.65,25,1,2.5
,Agar,Zn(NO3)2,Hierarchical,500,1316,1.14,,93.18,0,1.14,5.68,25,1,2.5
25,Hazelnut shell,NaNH2,Microporous,500,502,0.22,,85.21,5.87,2.74,6.18,25,1,2.24
,Hazelnut shell,NaNH2,Microporous,500,1991,0.88,,87.21,5.03,2.94,4.82,25,1,3.72
,Hazelnut shell,NaNH2,Microporous,500,1833,0.8,,86.24,5.31,3.21,5.24,25,1,3.39
,Hazelnut shell,NaNH2,Microporous,500,1099,0.45,,86.32,5.99,2.53,5.16,25,1,4.32
,Hazelnut shell,NaNH2,Microporous,500,1821,0.79,,86.74,5.87,2.75,4.64,25,1,3.5
,Hazelnut shell,NaNH2,Microporous,500,2185,0.99,,87.02,6.01,2.97,4,25,1,3.48
,Hazelnut shell,NaNH2,Microporous,500,1343,0.55,,87.65,5.24,1.98,5.13,25,1,3.94
,Hazelnut shell,NaNH2,Microporous,500,2318,1.03,,88.34,5.87,2.14,3.65,25,1,3.52
,Hazelnut shell,NaNH2,Microporous,500,2321,1.11,,88.21,5.21,2.3,4.28,25,1,3.38
26,Walnut shell powder,KOH,Hierarchical,,1636,0.74,0.68,54,3.75,2.69,39.56,25,1,2.86
,Walnut shell powder,KOH,Hierarchical,,2354,1.26,0.97,75.38,1.3,0.86,22.46,25,1,3.08
,Walnut shell powder,KOH,Hierarchical,,759,0.44,0.33,51.21,1.96,4.45,42.38,25,1,2.32
,Walnut shell powder,KOH,Hierarchical,,1606,0.97,0.78,71.19,2.88,4.02,21.91,25,1,1.92
,Walnut shell powder,KOH,Hierarchical,,1741,0.86,0.8,64.43,3.21,2.2,30.16,25,1,2.74
,Walnut shell powder,KOH,Hierarchical,,1636,0.74,0.68,54,3.75,2.69,39.56,25,1,2.86
,Walnut shell powder,KOH,Hierarchical,,2251,1.21,1.03,70.44,1.62,0.94,27,25,1,2.54
,Walnut shell powder,KOH,Hierarchical,,3079,1.84,1.18,80.49,1.2,2.08,16.23,25,1,2.53
,Walnut shell powder,KOH,Hierarchical,,2354,1.26,0.97,75.38,1.3,0.86,22.46,25,1,3.04
,Walnut shell powder,KOH,Hierarchical,,2556,1.9,0.96,81.84,1.75,0.76,15.65,25,1,2.27
,Walnut shell powder,KOH,Hierarchical,,1000,0.68,0.53,51.67,1.75,1.57,45.01,25,1,2.37
,Walnut shell powder,KOH,Hierarchical,,759,0.44,0.33,51.21,1.96,4.45,42.38,0,1,3.3
,Walnut shell powder,KOH,Hierarchical,,1606,0.97,0.78,71.19,2.88,4.02,21.91,0,1,2.9
,Walnut shell powder,KOH,Hierarchical,,1741,0.86,0.8,64.43,3.21,2.2,30.16,0,1,4.73
,Walnut shell powder,KOH,Hierarchical,,1636,0.74,0.68,54,3.75,2.69,39.56,0,1,5
,Walnut shell powder,KOH,Hierarchical,,2251,1.21,1.03,70.44,1.62,0.94,27,0,1,4.2
,Walnut shell powder,KOH,Hierarchical,,3079,1.84,1.18,80.49,1.2,2.08,16.23,0,1,3.35
,Walnut shell powder,KOH,Hierarchical,,2354,1.26,0.97,75.38,1.3,0.86,22.46,0,1,5.13
,Walnut shell powder,KOH,Hierarchical,,2556,1.9,0.96,81.84,1.75,0.76,15.65,0,1,3.35
,Walnut shell powder,KOH,Hierarchical,,1000,0.68,0.53,51.67,1.75,1.57,45.01,0,1,2.57
27,Walnut shell,KOH,Hierarchical,,1636,0.74,0.68,54,3.75,2.69,39.56,25,0.15,0.67
,Walnut shell,KOH,Hierarchical,,2354,1.26,0.97,75.38,1.3,0.86,22.46,25,0.15,0.64
,Walnut shell,KOH,Hierarchical,,1144,0.64,0.48,68.18,1.57,4.8,25.45,25,1,2.1
,Walnut shell,KOH,Hierarchical,,1813,1.05,0.7,80.95,0.79,1,17.26,25,1,2.14
,Walnut shell,KOH,Hierarchical,,273,0.19,0.13,46.52,1.55,9.32,42.61,25,1,1.78
,Walnut shell,KOH,Hierarchical,,481,0.27,0.24,52.01,1.92,8.75,37.32,25,1,1.83
,Walnut shell,KOH,Hierarchical,,1144,0.64,0.48,68.18,1.57,4.8,25.45,25,0.15,0.36
,Walnut shell,KOH,Hierarchical,,1813,1.05,0.7,80.95,0.79,1,17.26,25,0.15,0.38
,Walnut shell,KOH,Hierarchical,,273,0.19,0.13,46.52,1.55,9.32,42.61,25,0.15,0.69
,Walnut shell,KOH,Hierarchical,,481,0.27,0.24,52.01,1.92,8.75,37.32,25,0.15,0.67
28,Oil residue,NaNH2,Hierarchical,500,660,0.42,0.33,57.89,2.71,4.31,35.09,25,1,2.04
,Oil residue,NaNH2,Hierarchical,500,846,0.94,0.4,56.5,2.52,4.59,36.39,25,1,2.11
,Oil residue,NaNH2,Hierarchical,500,1176,0.72,0.57,60.87,3.01,5.83,30.29,25,1,2.19
,Oil residue,NaNH2,Hierarchical,500,2113,1.24,0.94,61.07,1.98,6.9,30.05,25,1,3.51
,Oil residue,NaNH2,Hierarchical,500,1508,0.94,0.68,62.98,2.1,6.02,28.9,25,1,3.42
,Oil residue,NaNH2,Hierarchical,500,2148,1.32,0.94,64.49,1.7,5.57,28.24,25,1,2.98
29,Glucose biomass,CO2,Microporous,80,748,0.47,0.27,83.84,0.04,1.1,15.02,25,1,2.55
,Glucose biomass,CO2,Microporous,80,697,0.46,0.25,75.15,0.05,6.5,18.3,25,1,2.92
,Glucose biomass,CO2,Microporous,80,581,0.35,0.21,67.78,1.14,11.48,19.5,25,1,3.03
30,Shell of tea seed,KOH,Microporous,700,1065,0.47,0.39,59.43,1.24,2.43,36.9,25,1,2.69
,Shell of tea seed,KOH,Microporous,700,1188,0.52,0.44,66.21,0.94,3.41,29.44,25,1,2.75
